row,record,x,y,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,thickness_frequency_amplitude,p_wave_integral,y_loc,left_clipped,right_clipped,left_amp_max,right_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,x_localized,y_localized,frequencies,mean_amplitudes,x_bin,y_bin
8,33,8,33,4785.156250000001,15.046530612244894,12.0,137952.11861766706,2014.6582111166272,0.06290340839512859,28.2238862205814,431072.71613205795,55.203372955322266,0,0,165563.96484375003,208264.16015625006,0.22022752297951506,12.744,7.7e-05,1074.2187500000002,17333.984375000004,16259.765625000004,74.0,55.203372955322266,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.50604510e-32 2.99655812e-02 1.01354509e-01 ... 1.91420332e-06
 4.02685017e-06 1.15245309e-05]",,
8,34,8,34,4833.984375000001,14.894545454545451,12.0,169777.4154807714,1390.6010330929462,0.03993282210134035,35.33177368633021,457608.6844222685,56.333770751953125,0,0,245727.5390625,329516.60156249994,0.2649141562273139,13.032,7.2e-05,830.0781250000001,20068.359375000004,19238.281250000004,74.0,56.333770751953125,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.62537646e-31 5.90262379e-02 1.81574128e-01 ... 4.24706851e-05
 3.88409954e-05 3.60790246e-05]",,
8,35,8,35,4833.984375000001,14.894545454545451,12.0,150988.24699776442,2385.289844870305,0.0652392388391055,33.16770376590487,498293.1127280053,57.46464920043945,0,0,147033.69140625,194970.7031250001,0.37745246955047695,13.032,7.8e-05,1562.5000000000002,15869.140625000002,14306.640625000002,74.0,57.46464920043945,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.33693155e-31 6.41000496e-02 2.01761162e-01 ... 1.13029438e-05
 6.43533807e-06 4.34264797e-06]",,
8,36,8,36,4833.984375000001,14.894545454545451,12.0,115043.5173468739,2213.9657523148244,0.06322178422671147,26.48303727495036,525010.3324632427,58.353580474853516,0,0,143408.20312500003,155090.33203125,0.3854740653677219,13.032,7.9e-05,1220.7031250000002,16796.875000000004,15576.171875000004,74.0,58.353580474853516,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.95960704e-36 4.12181679e-02 1.39970358e-01 ... 2.58534951e-05
 1.42635654e-05 9.59414196e-06]",,
8,37,8,37,4833.984375000001,14.894545454545451,12.0,107099.83120561954,2136.760380821219,0.057100358477946075,25.296699334041794,549308.1127835852,59.498512268066406,0,0,140185.54687499994,208264.16015625006,0.5444432059197079,13.032,8.1e-05,1123.0468750000002,16455.078125000004,15332.031250000004,74.0,59.498512268066406,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.03172982e-33 5.81754830e-02 1.80795406e-01 ... 1.83466938e-05
 6.36954721e-06 1.38545112e-06]",,
8,38,8,38,4687.500000000001,15.359999999999998,12.0,75134.19177019892,2473.2305758729185,0.07228490147802517,16.66159039794069,409900.9284297364,60.34992980957031,0,0,105541.99218750004,135754.39453125006,0.5704820602011049,12.96,9.2e-05,1367.1875000000002,11767.578125000002,10400.390625000002,74.0,60.34992980957031,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[8.58708512e-32 1.97507398e-02 7.32494766e-02 ... 1.69626697e-05
 2.02889462e-05 3.17102205e-05]",,
8,39,8,39,4589.843750000001,15.686808510638294,12.0,100520.03845603326,1815.3117798966525,0.04565282821891679,22.079262560529756,436965.5384077567,61.431331634521484,0,0,175634.7656249999,232434.08203125006,0.3452481939774099,13.176000000000002,7.7e-05,3417.9687500000005,17773.437500000004,14355.468750000004,74.0,61.431331634521484,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[0.00000000e+00 4.28022976e-02 1.41298805e-01 ... 8.08932147e-06
 2.01259334e-06 2.46699581e-06]",,
8,40,8,40,4638.671875000001,15.521684210526313,12.0,109556.07633923466,1580.3474253831191,0.04511181102486624,23.498210614542373,472417.3059164352,62.38801574707031,0,0,133740.23437500006,211083.9843750001,0.2126485458663221,13.319999999999999,8e-05,3369.1406250000005,17187.500000000004,13818.359375000004,74.0,62.38801574707031,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.21269193e-32 3.51110379e-02 1.11531164e-01 ... 1.03411876e-05
 9.11878041e-06 1.30512308e-05]",,
8,41,8,41,4638.671875000001,15.521684210526313,12.0,236026.552642507,2565.3184576910035,0.052426959084070565,48.083766314276005,597773.2551950745,63.49282455444336,0,0,284399.4140624999,371813.96484374994,0.3018957085690147,13.392,7.2e-05,3466.7968750000005,18945.312500000004,15478.515625000004,74.0,63.49282455444336,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[5.01729947e-31 6.40937173e-02 1.93679793e-01 ... 8.67457816e-06
 3.37589132e-06 5.26236922e-06]",,
8,42,8,42,4687.500000000001,15.359999999999998,12.0,250604.08078020063,2107.634613937927,0.04820926428969962,52.44104077334443,487831.97886855097,64.42310333251953,0,0,157104.4921875,32226.5625,0.26940151165604975,13.535999999999998,7.9e-05,3222.6562500000005,16894.531250000004,13671.875000000004,74.0,64.42310333251953,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.47423468e-31 4.85005328e-02 1.47519477e-01 ... 2.11399477e-05
 1.43488665e-05 1.33152513e-05]",,
8,43,8,43,4736.328125000001,15.201649484536079,12.0,303628.1439995381,1595.9492042611128,0.030052060795094225,69.69310668220466,517599.77554437384,65.48477172851562,0,0,229614.2578125,311389.16015624994,0.3095820105397309,13.680000000000001,7.5e-05,3076.1718750000005,19287.109375000004,16210.937500000004,74.0,65.48477172851562,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[4.37803211e-31 5.82757548e-02 1.66187043e-01 ... 2.09657263e-05
 7.16728516e-06 8.71238145e-07]",,
8,44,8,44,4736.328125000001,15.201649484536079,12.0,269757.2051591364,2342.964578277497,0.05141537982225002,63.13691241077841,403319.3595895598,66.49844360351562,0,0,165161.1328125,16113.28125,0.3564584959051889,13.680000000000001,7.9e-05,3222.6562500000005,16455.078125000004,13232.421875000004,74.0,66.49844360351562,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.24075457e-33 3.80287921e-02 1.15825471e-01 ... 1.18830276e-05
 9.07784793e-06 1.07936356e-05]",,
8,45,8,45,4736.328125000001,15.201649484536079,12.0,309539.58944363566,2118.310507923315,0.046497442905474876,74.34477105124095,523312.7196105254,67.46943664550781,0,0,162341.30859374994,58813.47656250002,0.0,13.680000000000001,7.9e-05,3076.1718750000005,17724.609375000004,14648.437500000004,74.0,67.46943664550781,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[5.71421412e-33 4.81797978e-02 1.36634740e-01 ... 3.13769054e-07
 5.39289001e-07 1.25445137e-06]",,
8,46,8,46,4736.328125000001,15.201649484536079,12.0,272616.5826094499,2847.5129592107887,0.06604301372474188,64.30295641041602,501446.13799714984,68.57201385498047,0,0,146630.85937499997,180468.74999999994,0.5760278741117,13.608,8.3e-05,3466.7968750000005,9765.625000000002,6298.828125000002,74.0,68.57201385498047,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.97269286e-32 5.16685570e-02 1.57341026e-01 ... 6.28839495e-06
 1.22955456e-05 1.56130975e-05]",,
8,47,8,47,4687.500000000001,15.359999999999998,12.0,238561.9649127751,1786.189309034169,0.03821382812502721,53.799304259379724,411239.27876377903,69.50557708740234,0,0,183691.4062499999,213500.9765625,0.43345601188795313,13.608,7.9e-05,1416.0156250000002,18164.062500000004,16748.046875000004,74.0,69.50557708740234,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[4.38954153e-32 6.76701516e-02 1.83214698e-01 ... 4.53014225e-07
 1.72561546e-06 3.12677253e-06]",,
8,48,8,48,4687.500000000001,15.359999999999998,12.0,195092.90946979955,2612.958774558126,0.05607152352914742,41.6092619227468,466296.9697307654,70.52630615234375,0,0,162744.14062499997,177648.9257812499,0.3904551841766676,13.752000000000002,8e-05,3076.1718750000005,17089.843750000004,14013.671875000004,74.0,70.52630615234375,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[7.89077142e-32 4.78278634e-02 1.35952000e-01 ... 1.91757051e-06
 3.49643694e-06 6.00758841e-06]",,
8,49,8,49,4638.671875000001,15.521684210526313,12.0,178214.78723407668,2056.2144716049993,0.042415237450404986,38.269029455754435,478349.04585399467,71.50527954101562,0,0,184899.9023437501,198596.19140624994,0.31950024863132526,13.680000000000001,8e-05,3076.1718750000005,17431.640625000004,14355.468750000004,74.0,71.50527954101562,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.49997032e-33 5.31685438e-02 1.45422699e-01 ... 8.55159797e-06
 2.96243880e-06 2.88339515e-06]",,
8,50,8,50,4638.671875000001,15.521684210526313,12.0,173802.69680630794,1602.688930575541,0.035963708266615976,36.09041268231274,401178.2818964303,72.48454284667969,0,0,178454.58984374994,271508.7890625001,0.356578147888146,13.824000000000002,7.9e-05,3125.0000000000005,17626.953125000004,14501.953125000004,74.0,72.48454284667969,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.17731556e-31 3.68970114e-02 1.04900450e-01 ... 4.50278149e-06
 2.69059711e-07 1.95666732e-06]",,
