x,y,impactor,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,thickness_frequency_amplitude,p_wave_integral,y_loc,transducers_clipped,transducers_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,calculated_cpp,ie_defects,pre_impact_resonance_frequency,pre_impact_resonance_frequency_amplitude,x_localized,y_localized,frequencies,mean_amplitudes,impactor_mass,sensor_ids,x_bin,y_bin,noise,clipped,debond,thickness_diff,defect,ie_defect
7,39,1,13574.21875,5.304172662,12,24630169.18,12643.54447,0.387003265,6.39269835,15447867.78,41.80639648,"[0, 0, 0]","[362951.6601562499, 621569.82421875, 427404.78515624994]",0.0919969,18.576,6.70E-05,1513.671875,29394.53125,27880.85938,27148.4375,0,97.65625,0.988054863,18,41.80639648,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.16046676e-34 1.35278169e-02 2.49547843e-02 ... 1.44508708e-05
 1.33212295e-05 1.18079583e-05]",8.5,"[1, 0, 2]",18,41,0,0,0,0,1,0
7,38,0,3417.96875,21.06514286,12,1969611.876,4611.310927,0.289690169,2.214717889,6060354.96,41.08063126,"[0, 0, 0]","[47937.01171874998, 94665.52734375, 98693.84765625]",0.149091118,16.416,0.000127,585.9375,28076.17188,27490.23438,6835.9375,0,1757.8125,0.330305889,18,41.08063126,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[9.69374054e-33 1.96817354e-02 4.79490721e-02 ... 9.01328872e-06
 7.98337286e-06 7.95454692e-06]",37.5,"[1, 0, 2]",18,41,0,0,0,1,0,0
7,37,1,12841.79688,5.606692015,12,30096830.15,13332.4302,0.392227493,4.748731952,15319693.38,40.1747818,"[0, 0, 0]","[382287.5976562501, 691259.7656249999, 370605.46875]",0.071559902,18.864,6.50E-05,1611.328125,29687.5,28076.17188,25683.59375,0,97.65625,1.113915445,18,40.1747818,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.17193210e-32 1.50134533e-02 2.73084621e-02 ... 1.54161282e-06
 1.07159463e-06 4.77140002e-07]",8.5,"[1, 0, 2]",18,40,0,0,0,0,1,0
7,36,0,3906.25,18.432,12,1061678.105,4241.366713,0.364244249,1.379991749,5826211.264,39.16583633,"[0, 0, 0]","[62841.79687500002, 68884.27734375003, 46325.68359375]",0.288834439,16.776,0.000123,878.90625,12353.51563,11474.60938,7812.5,0,2050.78125,0.302355659,18,39.16583633,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.55220473e-32 1.23128586e-02 3.00545100e-02 ... 3.70358479e-07
 6.34912070e-07 7.27613808e-07]",37.5,"[1, 0, 2]",18,39,0,0,0,1,0,0
7,35,1,7958.984375,9.046380368,12,19242615.8,11726.72273,0.361307267,4.644205322,13640830.72,38.03953171,"[0, 0, 0]","[341601.56249999994, 564367.6757812499, 328308.10546875]",0.079084202,19.44,6.70E-05,1025.390625,33349.60938,32324.21875,15917.96875,0,97.65625,0.801581694,18,38.03953171,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[6.11615129e-34 1.18483252e-02 2.19473182e-02 ... 1.22940724e-06
 2.47782612e-06 3.49704479e-06]",8.5,"[1, 0, 2]",18,38,0,0,0,0,1,0
7,34,0,3955.078125,18.20444444,12,1458506.763,4347.738889,0.371518628,2.502857487,6235145.859,36.8527832,"[0, 0, 0]","[72106.93359374997, 89428.71093750004, 97888.18359374996]",0.177526616,16.992,0.000124,781.25,16650.39063,15869.14063,7910.15625,0,1904.296875,0.340293019,18,36.8527832,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.05747688e-33 1.64003134e-02 3.96368586e-02 ... 1.62101059e-06
 1.08445339e-06 9.72760008e-07]",37.5,"[1, 0, 2]",18,36,0,0,0,1,0,0
7,33,1,18066.40625,3.985297297,12,55741780.34,13521.23346,0.305105249,5.212070042,19494186.7,35.84299469,"[0, 10, 0]","[433044.43359375, 825000.0, 448754.8828124999]",0.068628816,19.728,6.30E-05,1611.328125,30419.92188,28808.59375,36132.8125,0,1025.390625,0.964198558,18,35.84299469,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.22299075e-32 1.85981847e-02 3.30583354e-02 ... 6.67044301e-06
 7.30611614e-06 7.35150458e-06]",8.5,"[1, 0, 2]",18,35,0,0,1,0,0,0
7,32,0,4052.734375,17.76578313,12,2634602.614,5022.087869,0.32923509,4.108729607,8982556.607,34.94629288,"[0, 0, 0]","[69689.94140624996, 120043.94531249996, 99499.51171875004]",0,17.496,0.000122,878.90625,17822.26563,16943.35938,8105.46875,1,1757.8125,0.545482448,18,34.94629288,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[7.61791247e-32 2.40355442e-02 6.16360579e-02 ... 5.73460994e-07
 5.15337319e-07 4.74067116e-07]",37.5,"[1, 0, 2]",18,34,0,0,0,1,1,1
7,31,1,7177.734375,10.03102041,12,6192683.095,12212.52785,0.638483534,2.783472129,8541584.953,34.08420944,"[0, 0, 0]","[115612.79296875004, 239282.22656249997, 142602.53906249997]",0.118105871,20.664,7.80E-05,1416.015625,24560.54688,23144.53125,14355.46875,0,97.65625,0.68981467,18,34.08420944,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[8.91838935e-34 1.82058431e-02 3.29843775e-02 ... 9.67985738e-07
 1.10761310e-06 1.56189065e-06]",8.5,"[1, 0, 2]",18,34,1,0,0,0,0,0
7,30,0,3271.484375,22.00835821,12,2013815.385,4806.790509,0.298336479,4.828288141,8900012.44,33.27379608,"[0, 0, 0]","[44714.35546875002, 95874.02343749996, 108361.81640624997]",0.444402066,18.72,0.000121,341.796875,18652.34375,18310.54688,6542.96875,0,1611.328125,0.456941036,18,33.27379608,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[5.46997087e-33 2.07420847e-02 5.44382020e-02 ... 2.72318738e-06
 2.25770301e-06 1.32116377e-06]",37.5,"[1, 0, 2]",18,33,1,0,0,1,0,0
7,29,1,18750,3.84,12,14929692.19,12313.88784,0.409730527,3.530059549,13563015.19,31.94817162,"[0, 0, 0]","[261437.9882812501, 489440.91796875, 221960.4492187499]",0.072914908,21.528,7.20E-05,1123.046875,28320.3125,27197.26563,37500,0,97.65625,0.876407279,18,31.94817162,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[5.56376529e-32 2.93425048e-02 5.40840743e-02 ... 6.42143966e-06
 5.92488990e-06 4.32031602e-06]",8.5,"[1, 0, 2]",18,31,0,0,0,0,1,0
7,28,0,3369.140625,21.37043478,12,1669804.027,4739.537588,0.274661518,7.229437941,10575395.1,30.83915329,"[0, 0, 0]","[64453.125, 84191.89453124997, 95874.02343749996]",0.498146554,19.584,0.00012,1123.046875,12353.51563,11230.46875,6738.28125,1,1757.8125,0.483010932,18,30.83915329,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.01607751e-31 1.92841831e-02 4.76879774e-02 ... 3.83779571e-06
 3.98285171e-06 4.04752116e-06]",37.5,"[1, 0, 2]",18,30,0,0,0,1,1,1
